#
# Configuration pin/part database for PLD support.
#
#  Values curated from Application Note AN414, consolidated by common behavior.
# 
#   AN414/JRunner dataset under 'JRunner Software License'
#   https://www.altera.com/download/licensing/lic-jrunner.html
#
#  Family, Part, IDCODE - self-explanatory
#  STATUS_pins          - instruction STATUS allows internal status 'pins' to be read much like a boundary 
#                         scan chain. Three bits present used per emulated pin, so DR length = 3*STATUS_pins
#  CONF_DONE_pinpos     - which pin (measured from the end!) contains the CONF_DONE pin signal
#
#  For some parts, IDCODE alone is not sufficient to identify Family/Part, so use STATUS dr-length as
#  tie breaker to resolve CONF_DONE_pinpos.
#  
#  Within part names 'x' denotes 'dont care' characters. These values are only for visual confirmation the 
#  correct part/JTAG controller is identifier. For variable length dont-care portions, the minimum number of characters 
#  is specified, ie. xxx could be 3 or 4 characters. 
#
# Family,Part,IDCODE,STATUS_pins, CONF_DONE_pinpos
#
#

# ACEX/FLEK 1K
ACEX/FLEX, EP1K10xxxx, 0x110100DD, 146, 146
ACEX/FLEX, EP(1K/F10K)30xxxx, 0x110300DD, 230, 230
ACEX/FLEX, EP(1K/F10K)50xxxx, 0x110500DD, 266, 266
ACEX/FLEX, EP(1K/F10K)100xxxx, 0x201000DD, 350, 350
AXEC/FLEX, EPF10K130Exxxx, 0x101300DD, 436, 436
AXEC/FLEX, EPF10K200xxxxx, 0x102000DD, 482, 482

# APEX II
APEX II,EP2A15xxxx, 0xC4000DD, 508, 191
APEX II,EP2A25xxxx, 0xC6000DD, 628, 251
APEX II,EP2A40Bxxx, 0xD0000DD, 776, 293
APEX II,EP2A70xxxx, 0xE0000DD, 1076, 443

# APEX 20K 
APEX 20K,EP20K100xxxx,0x04160DD, 262, 98
APEX 20K,EP20K200xxxx,0x08320DD, 392, 163
APEX 20K,EP20K400xxxx,0x16640DD, 512, 193
APEX 20K,EP20K30ET144,0x80300DD, 140, 47
APEX 20K,EP20K60Exxxx,0x80600DD, 208, 69
APEX 20K,EP20K100Exxxx,0x81000DD, 258, 94
APEX 20K,EP20K160Exxxx,0x81600DD, 328, 129
APEX 20K,EP20K200xxxxx,0x82000DD, 388, 159
APEX 20K,EP20K300Exxxx,0x83000DD, 422, 149
APEX 20K,EP20K400xxxxx,0x84000DD, 502, 189
APEX 20K,EP20K600xxxxx,0x84000DD, 602, 239
APEX 20K,EP20K1000xxxxx,0x90000DD, 730, 271
APEX 20K,EP20K1500Exxxx,0x95000DD, 834, 323

# MERCURY
MERCURY, EP1M120F484, 0x30000DD, 375, 5
MERCURY, EP1M350F780, 0x30010DD, 565, 7

# STRATIX 
STRATIX,EP1S10xxxx, 0x20010DD, 439, 391
STRATIX,EP1S10xxxxES, 0x20030DD, 439, 391
STRATIX,EP1S20xxxx, 0x20020DD, 599, 533
STRATIX,EP1S25xxxx, 0x20030DD, 719, 635
STRATIX,EP1S30xxxx, 0x20040DD, 751, 667
STRATIX,EP1S40xxxx, 0x20050DD, 843, 741
STRATIX,EP1S60xxxx, 0x20060DD, 1043, 923
STRATIX,EP1S80xxxx, 0x20070DD, 1259, 1121

# CYCLONE
CYCLONE,EP1C3Txxx, 0x20810DD, 113, 69
CYCLONE,EP1C6xxxx, 0x20820DD, 194, 121
CYCLONE,EP1C12xxxx, 0x20830DD, 258, 163
CYCLONE,EP1C20Fxxx, 0x20840DD, 310, 197
CYCLONE,EP1C4Fxxx, 0x20850DD, 310, 198

# STRATIX GX
STRATIX GX,EP1SGX10, 0x20410DD, 343, 295
STRATIX GX,EP1SGX25, 0x20430DD, 555, 471
STRATIX GX,EP1SGX40, 0x20450DD, 647, 545

# STRATIX II
STRATIX II,EP2S60FxxxES, 0x20930DD, 732, 731
STRATIX II,EP2S15Fxxx, 0x20910DD, 380, 379
STRATIX II,EP2S30Fxxx, 0x20920DD, 564, 563
STRATIX II,EP2S60Fxxx, 0x120930DD,732, 731
STRATIX II,EP2S90Fxxxx, 0x20940DD, 916, 915
STRATIX II,EP2S130Fxxxx, 0x20950DD, 1140,1139
STRATIX II,EP2S180Fxxxx, 0x20960DD, 1316,1315

# CYCLONE II
CYCLONE II, EP2C5xxxx, 0x20B10DD, 166,  97
CYCLONE II, EP2C8xxxx, 0x20B20DD, 199, 119
CYCLONE II, EP2C(15/20)xxxx, 0x20B30DD, 323, 193
CYCLONE II, EP2C35Fxxx, 0x20B40DD, 483, 296
CYCLONE II, EP2C50Fxxx, 0x20B50DD, 458, 280
CYCLONE II, EP2C70Fxxx, 0x20B60DD, 630, 391

# STRATIX II GX
STRATIX II GX,EP2SGX30F780, 0x20E10DD, 564, 563
STRATIX II GX,EP2SGX60Fxxx, 0x20E20DD, 732, 731
STRATIX II GX,EP2SGX90Fxxxx, 0x20E30DD, 672, 671
STRATIX II GX,EP2SGX130F1508, 0x20E40DD, 816, 815

# CYCLONE III
CYCLONE III, EP3C5xxxx, 0x20F10DD, 201, 126
CYCLONE III, EP3C16xxxx, 0x20F20DD, 360, 224
CYCLONE III, EP3C25xxxx, 0x20F30DD, 244, 149
CYCLONE III, EP3C40xxxx, 0x20F40DD, 544, 343
CYCLONE III, EP3C55xxxx, 0x20F50DD, 388, 241
CYCLONE III, EP3C80xxxx, 0x20F60DD, 438, 271
CYCLONE III, EP3C120xxxx, 0x20F70DD, 540, 336

# ARRIA GX
ARRIA GX, EP1AGX(20/35)Fxxx, 0x21210DD, 440, 439
ARRIA GX, EP1AGX(50/60)Fxxx, 0x21220DD, 556, 555
ARRIA GX, EP1AGX90F1152, 0x21230DD, 672, 671

# STRATIX III
STRATIX III,EP3SE50Fxxx, 0x21060DD, 502, 122
STRATIX III,EP3SL50Fxxx, 0x21080DD, 502, 122
STRATIX III,EP3SL70Fxxx, 0x21010DD, 502, 122
STRATIX III,EP3SE80Fxxx, 0x210A0DD, 502, 122
STRATIX III,EP3SE110Fxxx, 0x21070DD, 758, 186
STRATIX III,EP3SL110Fxxx, 0x21090DD, 758, 186
STRATIX III,EP3SL150Fxxx, 0x21020DD, 758, 186
STRATIX III,EP3SL200Fxxx, 0x21030DD, 894, 190
STRATIX III,EP3SE260Fxxx, 0x21040DD, 990, 238
STRATIX III,EP3SL340Fxxxx, 0x21050DD,1134, 278

# STRATIX IV
STRATIX IV, EP4SGX70DFxx, 0x24200DD, 438, 122
STRATIX IV, EP4SGX110DFxx, 0x24000DD, 438, 122
STRATIX IV, EP4SGX180xxxx, 0x24210DD, 758, 186
STRATIX IV, EP4SGX230xxxx, 0x24090DD, 758, 186
STRATIX IV, EP4SGX290(F/H/K)Fxx, 0x24220DD, 894, 190
STRATIX IV, EP4SGX290NF45, 0x24430DD, 990, 238
STRATIX IV, EP4SGX360(F/H/K)Fxx, 0x24020DD, 894, 190
STRATIX IV, EP4SGX360NF45, 0x24830DD, 990, 238
STRATIX IV, EP4(SGX530/S40G5/S100G5)xxxx, 0x24030DD, 990, 238
STRATIX IV, EP4SE110F29, 0x24100DD, 438, 122
STRATIX IV, EP4SE230F29, 0x24110DD, 758, 186
STRATIX IV, EP4SE290Fxx, 0x24420DD, 894, 190
STRATIX IV, EP4SE360Fxx, 0x24120DD, 894, 190
STRATIX IV, EP4SE530Hxx, 0x24130DD, 990, 238
STRATIX IV, EP4SE680Fxx, 0x24040DD, 1134, 278
STRATIX IV, EP4S(40/100)G2F40, 0x24010DD, 758, 186

# Cyclone III LS
Cyclone III LS, EP3CLS70xxxx, 0x27010DD, 438, 271
Cyclone III LS, EP3CLS100xxxx, 0x27000DD, 438, 271
Cyclone III LS, EP3CLS150xxxx, 0x27030DD, 438, 271
Cyclone III LS, EP3CLS200xxxx, 0x27020DD, 438, 271

# Arria II GX
Arria II GX, EP2AGX45xxxx, 0x25120DD, 433, 42
Arria II GX, EP2AGX65xxxx, 0x25020DD, 433, 42
Arria II GX, EP2AGX95xxxx, 0x25130DD, 525, 62
Arria II GX, EP2AGX125xxxx, 0x25030DD, 525, 62
Arria II GX, EP2AGX190xxxx, 0x25140DD, 705, 82
Arria II GX, EP2AGX260xxxx, 0x25040DD, 705, 82

# Cyclone IV
Cyclone IV, EP4CGX22xxxx, 0x28120DD, 174, 20
Cyclone IV, EP4CGX30xxxx, 0x28020DD, 174, 20
Cyclone IV, EP4CGX30CF23, 0x28130DD, 354, 38
Cyclone IV, EP4CGX50CFxx, 0x28230DD, 354, 38
Cyclone IV, EP4CGX75CFxx, 0x28030DD, 354, 38
Cyclone IV, EP4CGX110xxxx, 0x28140DD, 516, 37
Cyclone IV, EP4CGX150xFxx, 0x28040DD, 516, 37
Cyclone IV, EP4CE(6/10)xxx, 0x20F10DD, 201, 126
Cyclone IV, EP4CE15xxx, 0x20F20DD, 360, 224
Cyclone IV, EP4CE22xxx, 0x20F30DD, 244, 149
Cyclone IV, EP4CE(30/40)xxx, 0x20F40DD, 544, 343
Cyclone IV, EP4CE55Fxx, 0x20F50DD, 388, 241
Cyclone IV, EP4CE75Fxx, 0x20F60DD, 438, 271
Cyclone IV, EP4C(E11/GX15)xxxx, 0x28010DD, 96, 20
Cyclone IV, EP4CE115F29, 0x20F70DD, 540, 336

# Stratix V
Stratix V, 5SEE9xxx, 0x29450DD, 1165, 424
Stratix V, 5SEEBxxx, 0x29250DD, 1165, 424
Stratix V, 5SGSxD6xxF4x, 0x29140DD, 1081, 424
Stratix V, 5SGSxD8xxF4x, 0x29040DD, 1081, 424
Stratix V, 5SGSMD3xxxxx, 0x29110DD, 777, 328
Stratix V, 5SGSMD4xxxxx, 0x29010DD, 777, 328
Stratix V, 5SGSMD4KxF40, 0x29170DD, 1025, 424
Stratix V, 5SGSMD5xxFxx, 0x29070DD, 1025, 424
Stratix V, 5SGTMC5KxF40, 0x29230DD, 1081, 424
Stratix V, 5SGTMC7KxF40, 0x29430DD, 1081, 424
Stratix V, 5SGXEA3xx(29/35), 0x29210DD, 777, 328
Stratix V, 5SGXEA3KxF40, 0x29470DD, 1025, 424
Stratix V, 5SGX(E/M)A4xxF(35/40), 0x29270DD, 1025, 424
Stratix V, 5SGX(E/M)A5xxF(35/40/45), 0x29130DD, 1081, 424
Stratix V, 5SGX(E/M)A7xxF(35/40/45), 0x29030DD, 1081, 424
Stratix V, 5SGX(EA/MA/MB)9xxx(40/43/45), 0x29150DD, 1165, 424
Stratix V, 5SGX(EA/MB/MA)Bxxx(40/43/45), 0x29050DD, 1165, 424
Stratix V, 5SGX(EB/MB)5Rxx(40/43), 0x29120DD, 925, 304
Stratix V, 5SGX(EB/MB)6Rxx(40/43), 0x29020DD, 925, 304

# Arria V
Arria V, 5AGxxx7xxF(27/31/35), 0x2A020DD, 560, 554
Arria V, 5AGxxx3xxx(27/31/35/40), 0x2A030DD, 720, 714
Arria V, 5AGxxx7xxx(35/40), 0x2A060DD, 720, 714
Arria V, 5AGxxA1DxF(27/31), 0x2A110DD, 496, 490
Arria V, 5AGXxA3DxF(27/31), 0x2A010DD, 496, 490
Arria V, 5AGXxA5xxF(27/31/35), 0x2A120DD, 560, 554
Arria V, 5AGXxB1xxF(31/35/40), 0x2A130DD, 720, 714
Arria V, 5AGXxB5xxF(35/40), 0x2A160DD, 720, 714
Arria V, 5ASxxD3xxF(31/35/40), 0x2D130DD, 823, 817
Arria V, 5ASxxD5xxF(31/35/40), 0x2D030DD, 823, 817
Arria V, 5AGZME1xxx(29/35), 0x29310DD, 777, 328
Arria V, 5AGZME1xxx(29/35), 0x29710DD, 777, 328
Arria V, 5AGZME5xxF35, 0x29770DD, 1025, 424
Arria V, 5AGZME5xxF35, 0x29770DD, 1025, 424
Arria V, 5AGZME5xxF40, 0x29770DD, 1025, 424
Arria V, 5AGZME5xxF40, 0x29770DD, 1025, 424
Arria V, 5AGZME7xxF(35/40), 0x29F70DD, 1025, 424

# CYCLONE V
Cyclone V, 5CExA4x(15/17/19/23), 0x2B050DD, 288, 234
Cyclone V, 5CExA2x(15/17/19/23), 0x2B150DD, 288, 234
Cyclone V, 5CExA5x(19/23), 0x2B220DD, 368, 362
Cyclone V, 5CExA7x(19/23/27/31), 0x2B130DD, 496, 490
Cyclone V, 5CExA9F(23/27/31), 0x2B140DD, 576, 570
Cyclone V, 5CGXxC3Bxx(15/19/23), 0x2B010DD, 240, 234
Cyclone V, 5CGXxC4Cxx(19/23/27), 0x2B120DD, 368, 362
Cyclone V, 5CGxxx5Cxx(19/23/27), 0x2B020DD, 368, 362
Cyclone V, 5CGxxx7xxx(19/23/27/31), 0x2B030DD, 496, 490
Cyclone V, 5CGxxx9xxF(23/27/31/35), 0x2B040DD, 576, 570
Cyclone V, 5CSxxx5x(19/23/31), 0x2D120DD, 495, 489
Cyclone V, 5CSxxx6x(19/23/31), 0x2D020DD, 495, 489

